Campaign,Campaign Daily Budget,Campaign Status,Ad Group,Max CPC,Ad Group Status,Keyword,Criterion Type
NSS | S1 Commercial & Strata,45.00,Paused,Commercial Snow Removal,6.00,Paused,commercial snow removal north vancouver,Exact
NSS | S1 Commercial & Strata,45.00,Paused,Commercial Snow Removal,6.00,Paused,commercial snow removal west vancouver,Exact
NSS | S1 Commercial & Strata,45.00,Paused,Commercial Snow Removal,6.00,Paused,commercial snow removal vancouver,Phrase
NSS | S1 Commercial & Strata,45.00,Paused,Commercial Snow Removal,6.00,Paused,commercial snow removal contractor,Phrase
NSS | S1 Commercial & Strata,45.00,Paused,Commercial Snow Removal,6.00,Paused,snow removal company north vancouver,Phrase
NSS | S1 Commercial & Strata,45.00,Paused,Commercial Snow Removal,6.00,Paused,business snow removal vancouver,Phrase
NSS | S1 Commercial & Strata,45.00,Paused,Strata Snow Removal,6.00,Paused,strata snow removal,Exact
NSS | S1 Commercial & Strata,45.00,Paused,Strata Snow Removal,6.00,Paused,strata snow removal vancouver,Exact
NSS | S1 Commercial & Strata,45.00,Paused,Strata Snow Removal,6.00,Paused,snow removal for strata,Phrase
NSS | S1 Commercial & Strata,45.00,Paused,Strata Snow Removal,6.00,Paused,strata snow removal contract,Phrase
NSS | S1 Commercial & Strata,45.00,Paused,Strata Snow Removal,6.00,Paused,condo snow removal vancouver,Phrase
NSS | S1 Commercial & Strata,45.00,Paused,Strata Snow Removal,6.00,Paused,multi family snow removal,Phrase
NSS | S1 Commercial & Strata,45.00,Paused,Property Managers,6.00,Paused,property management snow removal,Phrase
NSS | S1 Commercial & Strata,45.00,Paused,Property Managers,6.00,Paused,snow removal for property managers,Phrase
NSS | S1 Commercial & Strata,45.00,Paused,Property Managers,6.00,Paused,commercial snow removal contract,Phrase
NSS | S1 Commercial & Strata,45.00,Paused,Property Managers,6.00,Paused,snow removal contract vancouver,Phrase
NSS | S1 Commercial & Strata,45.00,Paused,Property Managers,6.00,Paused,seasonal snow removal contract,Phrase
NSS | S1 Commercial & Strata,45.00,Paused,Property Managers,6.00,Paused,snow removal rfp vancouver,Phrase
NSS | S1 Commercial & Strata,45.00,Paused,Parking Lot Plowing,6.00,Paused,parking lot snow removal,Exact
NSS | S1 Commercial & Strata,45.00,Paused,Parking Lot Plowing,6.00,Paused,parking lot snow removal vancouver,Exact
NSS | S1 Commercial & Strata,45.00,Paused,Parking Lot Plowing,6.00,Paused,parking lot plowing,Phrase
NSS | S1 Commercial & Strata,45.00,Paused,Parking Lot Plowing,6.00,Paused,commercial snow plowing north vancouver,Phrase
NSS | S1 Commercial & Strata,45.00,Paused,Parking Lot Plowing,6.00,Paused,snow hauling vancouver,Phrase
NSS | S1 Commercial & Strata,45.00,Paused,De-Icing & Salting,6.00,Paused,de icing services vancouver,Exact
NSS | S1 Commercial & Strata,45.00,Paused,De-Icing & Salting,6.00,Paused,commercial salting services,Phrase
NSS | S1 Commercial & Strata,45.00,Paused,De-Icing & Salting,6.00,Paused,salting services vancouver,Phrase
NSS | S1 Commercial & Strata,45.00,Paused,De-Icing & Salting,6.00,Paused,ice management vancouver,Phrase
NSS | S1 Commercial & Strata,45.00,Paused,De-Icing & Salting,6.00,Paused,anti icing services,Phrase
NSS | S1 Commercial & Strata,45.00,Paused,De-Icing & Salting,6.00,Paused,parking lot salting,Phrase
NSS | S2 Residential,20.00,Paused,Residential Snow Removal,4.50,Paused,snow removal north vancouver,Exact
NSS | S2 Residential,20.00,Paused,Residential Snow Removal,4.50,Paused,driveway snow removal north vancouver,Exact
NSS | S2 Residential,20.00,Paused,Residential Snow Removal,4.50,Paused,residential snow removal vancouver,Exact
NSS | S2 Residential,20.00,Paused,Residential Snow Removal,4.50,Paused,snow removal west vancouver,Phrase
NSS | S2 Residential,20.00,Paused,Residential Snow Removal,4.50,Paused,driveway snow clearing near me,Phrase
NSS | S2 Residential,20.00,Paused,Residential Snow Removal,4.50,Paused,snow shoveling service north vancouver,Phrase
NSS | S2 Residential,20.00,Paused,Residential Snow Removal,4.50,Paused,sidewalk snow clearing service,Phrase
NSS | S3 Storm Surge,20.00,Paused,Emergency Snow Removal,9.00,Paused,emergency snow removal,Phrase
NSS | S3 Storm Surge,20.00,Paused,Emergency Snow Removal,9.00,Paused,snow removal today,Phrase
NSS | S3 Storm Surge,20.00,Paused,Emergency Snow Removal,9.00,Paused,snow removal near me,Exact
NSS | S3 Storm Surge,20.00,Paused,Emergency Snow Removal,9.00,Paused,24 hour snow removal,Phrase
NSS | S3 Storm Surge,20.00,Paused,Emergency Snow Removal,9.00,Paused,same day snow removal,Phrase
NSS | S3 Storm Surge,20.00,Paused,Emergency Snow Removal,9.00,Paused,who plows driveways near me,Phrase
NSS | S4 Brand,5.00,Paused,Brand,2.00,Paused,north shore snow,Exact
NSS | S4 Brand,5.00,Paused,Brand,2.00,Paused,northshoresnow,Exact
NSS | S4 Brand,5.00,Paused,Brand,2.00,Paused,north shore snow removal,Phrase
