Campaign,Sitelink Text,Sitelink Description 1,Sitelink Description 2,Sitelink Final URL
NSS | S1 Commercial & Strata,Get a Free Quote,"Satellite-measured, no site visit",Most quotes back the same day,https://northshoresnow.com/contact#quote
NSS | S1 Commercial & Strata,Strata Snow Removal,Documented service for BC strata,Council-ready quotes and records,https://northshoresnow.com/strata
NSS | S1 Commercial & Strata,For Property Managers,One contract for every property,One invoice and one contact,https://northshoresnow.com/property-managers
NSS | S1 Commercial & Strata,De-Icing & Salting,Treated before ice ever forms,"Calibrated, documented salting",https://northshoresnow.com/de-icing
NSS | S1 Commercial & Strata,Residential Driveways,Automatic clearing when it snows,Per-visit or seasonal plans,https://northshoresnow.com/residential
NSS | S1 Commercial & Strata,Areas We Cover,"North Van, West Van, Downtown",Response times by area,https://northshoresnow.com/service-areas
NSS | S2 Residential,Get a Free Quote,"Satellite-measured, no site visit",Most quotes back the same day,https://northshoresnow.com/contact#quote
NSS | S2 Residential,Strata Snow Removal,Documented service for BC strata,Council-ready quotes and records,https://northshoresnow.com/strata
NSS | S2 Residential,For Property Managers,One contract for every property,One invoice and one contact,https://northshoresnow.com/property-managers
NSS | S2 Residential,De-Icing & Salting,Treated before ice ever forms,"Calibrated, documented salting",https://northshoresnow.com/de-icing
NSS | S2 Residential,Residential Driveways,Automatic clearing when it snows,Per-visit or seasonal plans,https://northshoresnow.com/residential
NSS | S2 Residential,Areas We Cover,"North Van, West Van, Downtown",Response times by area,https://northshoresnow.com/service-areas
NSS | S3 Storm Surge,Get a Free Quote,"Satellite-measured, no site visit",Most quotes back the same day,https://northshoresnow.com/contact#quote
NSS | S3 Storm Surge,Strata Snow Removal,Documented service for BC strata,Council-ready quotes and records,https://northshoresnow.com/strata
NSS | S3 Storm Surge,For Property Managers,One contract for every property,One invoice and one contact,https://northshoresnow.com/property-managers
NSS | S3 Storm Surge,De-Icing & Salting,Treated before ice ever forms,"Calibrated, documented salting",https://northshoresnow.com/de-icing
NSS | S3 Storm Surge,Residential Driveways,Automatic clearing when it snows,Per-visit or seasonal plans,https://northshoresnow.com/residential
NSS | S3 Storm Surge,Areas We Cover,"North Van, West Van, Downtown",Response times by area,https://northshoresnow.com/service-areas
NSS | S4 Brand,Get a Free Quote,"Satellite-measured, no site visit",Most quotes back the same day,https://northshoresnow.com/contact#quote
NSS | S4 Brand,Strata Snow Removal,Documented service for BC strata,Council-ready quotes and records,https://northshoresnow.com/strata
NSS | S4 Brand,For Property Managers,One contract for every property,One invoice and one contact,https://northshoresnow.com/property-managers
NSS | S4 Brand,De-Icing & Salting,Treated before ice ever forms,"Calibrated, documented salting",https://northshoresnow.com/de-icing
NSS | S4 Brand,Residential Driveways,Automatic clearing when it snows,Per-visit or seasonal plans,https://northshoresnow.com/residential
NSS | S4 Brand,Areas We Cover,"North Van, West Van, Downtown",Response times by area,https://northshoresnow.com/service-areas
